entry,exit,def_id
3,3,2736
3,5,2736
3,6,2735
3,7,2735
3,9,2734
3,10,2734
3,11,2734
3,12,2734
4,4,2774
4,5,2774
4,6,2731
4,7,2731
4,9,2732
4,10,2732
4,11,2732
4,12,2732
5,5,2737
5,6,2738
5,7,2738
5,9,2739
5,10,2739
5,11,2739
5,12,2739
6,6,2740
6,7,2740
6,9,2741
6,10,2741
6,11,2741
6,12,2741
7,7,2740
8,8,2733
8,9,2733
8,10,2733
8,11,2733
8,12,2733
9,9,2733
9,10,2733
9,11,2733
9,12,2733
10,10,2742
10,11,2742
10,12,2742
11,11,2743
11,12,2743
12,12,2743
13,13,2759
13,14,2759
13,15,2759
13,16,2759
13,17,2759
13,18,2758
13,20,2760
13,21,2760
13,22,2760
13,23,2760
14,14,2756
14,15,2756
14,16,2756
14,17,2756
14,18,2755
14,20,2757
14,21,2757
14,22,2757
14,23,2757
15,15,2753
15,16,2753
15,17,2753
15,18,2752
15,20,2754
15,21,2754
15,22,2754
15,23,2754
16,16,2750
16,17,2750
16,18,2749
16,20,2751
16,21,2751
16,22,2751
16,23,2751
17,17,2747
17,18,2749
17,20,2748
17,21,2748
17,22,2748
17,23,2748
18,18,2749
18,21,2744
19,19,2746
19,20,2746
19,21,2746
19,22,2746
19,23,2746
20,20,2745
20,21,2745
20,22,2745
20,23,2745
21,21,2744
21,22,2744
21,23,2744
22,22,2744
23,23,2744